well_id,x_position,velocity,measurement_error,timestamp,temperature,pressure
GW-001,0.25809368882075373,,,2025-06-12 13:35:21.684316,208.14297263310237,49.07698454081913
GW-002,0.2826770335667961,,,2025-06-12 13:35:21.684316,199.30238271992206,47.713387039937416
GW-003,0.3207791102109282,,,2025-06-12 13:35:21.684316,200.24095898853304,48.49551735543387
GW-004,0.33103049231212267,,,2025-06-12 13:35:21.684316,201.05382370336503,46.85691356884023
GW-005,0.595425414573367,,,2025-06-12 13:35:21.684316,198.87384696199086,47.542884781437614
GW-006,0.7244657313943462,,,2025-06-12 13:35:21.684316,207.37253730192595,47.00808827648448
GW-007,0.7377806436835028,,,2025-06-12 13:35:21.684316,202.7517689206613,49.12992873247196
GW-008,0.8966864311595206,,,2025-06-12 13:35:21.684316,205.64821826770003,49.956437165236366
GW-001,0.25809368882075373,,,2025-06-13 13:35:21.684316,206.22129636219367,48.00751617561191
GW-002,0.2826770335667961,,,2025-06-13 13:35:21.684316,200.401023703772,48.36993548314788
GW-003,0.3207791102109282,,,2025-06-13 13:35:21.684316,209.80872700277376,48.31274965084505
GW-004,0.33103049231212267,,,2025-06-13 13:35:21.684316,204.5581606918754,51.0315032310088
GW-005,0.595425414573367,,,2025-06-13 13:35:21.684316,200.74533080605374,49.80171414073966
GW-006,0.7244657313943462,,,2025-06-13 13:35:21.684316,211.18315972320534,49.98291122659008
GW-007,0.7377806436835028,,,2025-06-13 13:35:21.684316,192.8568957451316,51.03152067027527
GW-008,0.8966864311595206,,,2025-06-13 13:35:21.684316,200.75855938007652,46.68809803678806
GW-001,0.25809368882075373,,,2025-06-14 13:35:21.684316,207.25953602180954,49.42732059171782
GW-002,0.2826770335667961,,,2025-06-14 13:35:21.684316,211.06116058411834,48.15596719753827
GW-003,0.3207791102109282,,,2025-06-14 13:35:21.684316,211.00639153366348,47.114004311549586
GW-004,0.33103049231212267,,,2025-06-14 13:35:21.684316,193.99537872222075,49.28611218398575
GW-005,0.595425414573367,,,2025-06-14 13:35:21.684316,204.0178208037595,47.60224840291666
GW-006,0.7244657313943462,,,2025-06-14 13:35:21.684316,206.9114931256348,48.64113174539343
GW-007,0.7377806436835028,,,2025-06-14 13:35:21.684316,206.38971628054543,47.0262003014256
GW-008,0.8966864311595206,,,2025-06-14 13:35:21.684316,207.18362165821773,47.52991283365354
GW-001,0.25809368882075373,,,2025-06-15 13:35:21.684316,207.17001076122227,48.602151996326555
GW-002,0.2826770335667961,,,2025-06-15 13:35:21.684316,204.76723220805846,46.50610896487258
GW-003,0.3207791102109282,,,2025-06-15 13:35:21.684316,204.2857451817155,48.23118766253652
GW-004,0.33103049231212267,,,2025-06-15 13:35:21.684316,215.21061253711642,48.15690156651695
GW-005,0.595425414573367,,,2025-06-15 13:35:21.684316,205.56000736566494,48.58230062403681
GW-006,0.7244657313943462,,,2025-06-15 13:35:21.684316,193.93129054994145,46.987161880695695
GW-007,0.7377806436835028,,,2025-06-15 13:35:21.684316,208.5681221039558,48.11099800012852
GW-008,0.8966864311595206,,,2025-06-15 13:35:21.684316,202.33214937547228,48.73586954519068
GW-001,0.25809368882075373,,,2025-06-16 13:35:21.684316,193.158980056851,50.12539953466764
GW-002,0.2826770335667961,,,2025-06-16 13:35:21.684316,214.46385029133447,48.478367023540024
GW-003,0.3207791102109282,,,2025-06-16 13:35:21.684316,201.7991679063975,48.3606847119938
GW-004,0.33103049231212267,,,2025-06-16 13:35:21.684316,195.43353199537603,46.57227055100256
GW-005,0.595425414573367,,,2025-06-16 13:35:21.684316,205.14776767815547,48.04673070568242
GW-006,0.7244657313943462,,,2025-06-16 13:35:21.684316,212.77683542002057,47.39441628613335
GW-007,0.7377806436835028,,,2025-06-16 13:35:21.684316,201.3191420403628,50.33138043250448
GW-008,0.8966864311595206,,,2025-06-16 13:35:21.684316,204.6585584433032,48.643983901828044
GW-001,0.25809368882075373,,,2025-06-17 13:35:21.684316,198.6478223816392,50.07598437591487
GW-002,0.2826770335667961,,,2025-06-17 13:35:21.684316,201.6458432403547,47.556818932382576
GW-003,0.3207791102109282,,,2025-06-17 13:35:21.684316,210.64423709635426,48.45145341456939
GW-004,0.33103049231212267,,,2025-06-17 13:35:21.684316,213.47937509966465,45.965068123134095
GW-005,0.595425414573367,,,2025-06-17 13:35:21.684316,203.71322626731111,50.20384305858811
GW-006,0.7244657313943462,,,2025-06-17 13:35:21.684316,201.48822133380781,48.461272393606585
GW-007,0.7377806436835028,,,2025-06-17 13:35:21.684316,204.56918861560015,49.38123929066414
GW-008,0.8966864311595206,,,2025-06-17 13:35:21.684316,207.31443612181172,50.946551354742454
